sample,status,gap,time,recon_error,base_cost,objective,num_alleles_input,num_mutations,num_sparse_positions,num_linearized,num_binary,num_integer,num_continuous,num_rows,num_cols,num_alleles_called,base_deviations,total_base_selections
HG00438,time_limit,3.395,1810.83,10982.0,-92313.4982,10058.865,142,4224,12864,77184,77184,77326,85632,248640,162958,15,127,1317
HG00621,time_limit,7.444,1810.05,10774.0,-86411.2026,9909.888,146,4188,12955,77730,77730,77876,86106,250333,163982,15,112,1344
HG00673,time_limit,82.7462,1849.81,20575.0,-423530.3131,16339.6969,229,8790,49107,294642,294642,294871,312222,941823,607093,19,187,3011
HG00733,time_limit,108.6769,1889.18,30700.0,-654155.0588,24158.4494,290,11106,61754,370524,370524,370814,392736,1184432,763550,22,276,4430
HG00735,time_limit,16.4044,1825.19,14838.0,-295455.5038,11883.445,217,6432,29238,175428,175428,175645,188292,561954,363937,15,201,2224
HG00741,time_limit,55.222,1857.5,18014.0,-350197.4499,14512.0255,159,8190,36979,221874,221874,222033,238254,710791,460287,14,212,2515
HG01071,time_limit,52.6726,1850.96,20439.0,-375737.7277,16681.6227,211,7908,41475,248850,248850,249061,264666,795933,513727,17,127,2996
HG01106,time_limit,8.878,1812.18,11039.0,-90639.2772,10132.6072,149,4194,13532,81192,81192,81341,89580,261302,170921,15,124,1391
HG01109,time_limit,11.6627,1822.09,17539.0,-184932.8945,15689.6711,175,6840,23232,139392,139392,139567,153072,448248,292639,18,269,2679
HG01175,time_limit,100.6482,1870.96,21740.0,-571002.1991,16029.978,303,9966,63252,379512,379512,379815,399444,1211754,779259,18,142,3076
HG01243,time_limit,10.3927,1812.93,9392.0,-228551.399,7106.486,138,3432,16829,100974,100974,101112,107838,323183,208950,12,210,1262
HG01258,time_limit,11.882,1823.48,15525.0,-353929.438,11985.7056,201,5568,26852,161112,161112,161313,172248,515756,333561,19,152,1874
HG01358,time_limit,123.4284,1883.54,21127.0,-718756.0779,13939.4392,312,9276,70889,425334,425334,425646,443886,1356167,869532,15,176,2706
HG01361,time_limit,117.0268,1922.25,23956.0,-780336.4379,16152.6356,313,10896,73247,439482,439482,439795,461274,1402589,901069,16,121,2955
HG01891,time_limit,72.9799,1886.67,20972.0,-428065.6881,16691.3431,238,8538,50546,303276,303276,303514,320352,968912,623866,19,230,3032
HG01928,time_limit,4.7892,1811.6,10552.0,-94474.1143,9607.2589,144,3966,13037,78222,78222,78366,86154,251669,164520,11,109,954
HG01952,time_limit,124.0351,1955.62,30591.0,-783476.9621,22756.2304,344,11754,90303,541818,541818,542162,565326,1727511,1107488,20,230,4508
HG01978,time_limit,1.2438,1812.04,11100.0,-85522.766,10244.7723,142,3822,12531,75186,75186,75328,82830,241911,158158,16,158,1260
HG02055,time_limit,4.9515,1815.31,15718.0,-119396.0556,14524.0394,139,5316,14843,89058,89058,89197,99690,287333,188887,16,206,1809
HG02080,time_limit,7.4065,1812.7,11947.0,-96160.8181,10985.3918,145,4242,13303,79818,79818,79963,88302,256999,168265,16,133,1433
HG02145,time_limit,52.2221,1876.26,20551.0,-342199.9664,17129.0003,215,7950,46718,280308,280308,280523,296208,895592,576731,17,207,2766
HG02148,time_limit,45.2081,1848.7,21164.0,-351221.7954,17651.782,203,7500,39587,237522,237522,237725,252522,759653,490247,15,97,2590
HG02257,time_limit,33.057,1885.74,26946.0,-366092.1277,23285.0787,204,8490,35955,215730,215730,215934,232710,691635,448644,20,233,3393
HG02572,time_limit,15.2983,1821.88,14726.0,-204735.2479,12678.6475,160,6642,21475,128850,128850,129010,142134,414667,271144,18,190,2558
HG02622,time_limit,77.6917,1862.84,26997.0,-458875.563,22408.2444,231,9060,49508,297048,297048,297279,315168,949712,612447,20,206,3907
HG02630,time_limit,49.6777,1848.12,28892.0,-438199.0044,24510.01,221,7980,47714,286284,286284,286505,302244,914546,588749,20,252,2909
HG02717,time_limit,42.5017,1881.67,28088.0,-395837.965,24129.6203,213,8892,41728,250368,250368,250581,268152,801724,518733,20,274,3791
HG02723,time_limit,106.5696,1861.94,21599.0,-509090.0707,16508.0993,271,8076,53908,323448,323448,323719,339600,1032328,663319,15,143,2912
HG02818,time_limit,14.7052,1831.62,18128.0,-220680.5044,15921.195,182,7572,26464,158784,158784,158966,173928,510388,332894,17,299,2784
HG02886,time_limit,96.8978,1852.08,27315.0,-558259.3438,21732.4066,230,9450,52865,317190,317190,317420,336090,1013885,653510,21,238,3659
HG03098,time_limit,88.9606,1844.4,14905.0,-466911.2219,10235.8878,219,6456,47965,287790,287790,288009,300702,917791,588711,13,110,1513
HG03453,time_limit,48.627,1840.05,17497.0,-236336.4578,15133.6354,200,7692,39264,235584,235584,235784,250968,753708,486752,19,229,2722
HG03486,time_limit,10.4733,1851.08,14098.0,-150082.0188,12597.1798,155,6138,19536,117216,117216,117371,129492,377322,246863,18,279,2207
HG03492,time_limit,66.5452,1845.55,21196.0,-382829.026,17367.7097,243,8736,45172,271032,271032,271275,288504,867004,559779,17,165,3290
HG03516,time_limit,124.091,1883.24,23023.0,-626707.0153,16755.9298,301,10368,67757,406542,406542,406843,427278,1297751,834121,19,228,3726
HG03540,time_limit,31.6584,1861.96,25035.0,-272712.2168,22307.8778,163,9336,33835,203010,203010,203173,221682,652201,424855,15,226,3532
HG03579,time_limit,14.3207,1836.65,22193.0,-289440.8677,19298.5913,182,8796,30215,181290,181290,181472,198882,582881,380354,20,388,3300
NA18906,time_limit,23.2932,1823.01,13567.0,-162471.4235,11942.2858,160,6000,30307,181842,181842,182002,193842,581833,375844,17,194,2164
NA19240,time_limit,4.2906,1806.85,11980.0,-75159.7118,11228.4029,63,5136,6430,38580,38580,38643,48852,127306,87495,14,276,1339
NA20129,time_limit,87.6511,1866.41,25757.0,-618405.2407,19572.9476,264,9558,50735,304410,304410,304674,323526,973523,628200,17,203,2864
